GeneID	RNA.WT1	RNA.WT2	RNA.KO1	RNA.KO2	RPF.WT1	RPF.WT2	RPF.KO1	RPF.KO2
ENSMUSG00000000202	26	20	20	12	1	1	2	1
ENSMUSG00000000204	80	65	60	123	11	13	21	16
ENSMUSG00000000214	49	77	158	153	4	11	7	6
ENSMUSG00000000215	23	22	9	18	2	1	3	1
ENSMUSG00000000216	222	247	286	248	12	15	28	23
ENSMUSG00000000223	5	5	5	2	0	0	1	1
ENSMUSG00000000244	37	11	29	26	5	4	2	3
ENSMUSG00000000247	152	96	180	160	7	11	19	14
ENSMUSG00000000248	545	262	401	403	9	23	37	34
ENSMUSG00000000253	102	49	95	55	20	12	10	16
ENSMUSG00000000263	155	83	51	48	16	33	11	8
ENSMUSG00000000266	158	73	144	138	13	11	8	8
ENSMUSG00000000275	47	31	29	33	12	10	50	20
ENSMUSG00000000276	43	27	35	14	1	3	5	3
ENSMUSG00000000278	26	38	17	19	16	8	2	2
ENSMUSG00000000282	212	226	576	620	14	20	48	69
ENSMUSG00000000290	166	112	138	88	19	27	13	27
ENSMUSG00000000295	335	345	352	374	47	32	11	12
ENSMUSG00000000296	313	180	166	112	36	35	19	23
ENSMUSG00000000301	348	365	552	197	48	41	52	69
ENSMUSG00000000303	41	21	36	19	2	2	7	4
ENSMUSG00000000305	29	16	27	17	2	4	1	4
ENSMUSG00000000308	488	442	433	514	71	33	27	41
ENSMUSG00000000317	142	93	133	119	12	15	33	37
ENSMUSG00000000318	88	82	83	85	9	19	22	13
ENSMUSG00000000320	490	299	430	470	112	138	101	97
ENSMUSG00000000325	250	330	464	412	35	76	55	40
ENSMUSG00000000326	305	212	175	307	13	13	26	23
ENSMUSG00000000339	95	71	128	113	9	19	18	9
ENSMUSG00000000340	345	140	215	234	59	27	25	42
ENSMUSG00000000346	182	133	107	97	42	29	17	17
ENSMUSG00000000355	131	99	172	160	26	16	36	24
ENSMUSG00000000359	83	71	65	160	19	3	16	12
ENSMUSG00000000365	278	248	168	238	47	44	37	65
ENSMUSG00000000374	126	93	177	98	16	15	20	26
ENSMUSG00000000378	107	127	122	96	20	21	8	8
ENSMUSG00000000381	60	41	56	92	23	6	16	35
ENSMUSG00000000384	29	31	43	45	9	6	12	10
ENSMUSG00000000385	160	166	154	191	32	26	31	32
ENSMUSG00000000386	223	180	259	188	46	48	28	50
ENSMUSG00000000392	356	156	234	171	24	8	7	19
ENSMUSG00000000394	498	384	186	127	54	87	41	22
ENSMUSG00000000399	61	67	59	31	8	3	3	2
ENSMUSG00000000402	323	391	241	460	66	72	29	34
ENSMUSG00000000409	114	114	91	101	20	26	17	10
ENSMUSG00000000411	97	134	52	114	9	20	8	15
ENSMUSG00000000416	257	176	235	392	76	46	37	46
ENSMUSG00000000420	187	364	123	58	11	14	10	7
ENSMUSG00000000435	136	103	251	214	19	45	37	15
ENSMUSG00000000439	23	21	23	46	3	2	3	4
ENSMUSG00000000440	39	57	36	24	5	1	2	2
ENSMUSG00000000441	106	106	56	42	11	10	4	3
ENSMUSG00000000486	58	45	35	32	2	3	6	5
ENSMUSG00000000489	262	206	225	238	30	50	74	54
ENSMUSG00000000530	56	178	137	119	26	38	25	31
ENSMUSG00000000531	16	21	10	6	2	2	1	1
ENSMUSG00000000532	218	221	300	142	33	24	56	29
ENSMUSG00000000538	65	44	114	86	2	8	1	1
ENSMUSG00000000544	638	860	361	346	156	246	161	123
ENSMUSG00000000552	125	167	189	115	20	36	39	24
ENSMUSG00000000555	18	39	69	56	5	13	3	3
ENSMUSG00000000560	142	155	135	125	15	15	9	5
ENSMUSG00000000561	35	38	59	45	12	4	10	12
ENSMUSG00000000562	102	79	205	214	37	28	50	40
ENSMUSG00000000563	308	308	243	311	15	15	26	38
ENSMUSG00000000567	183	232	185	215	15	18	17	31
ENSMUSG00000000568	161	109	105	145	19	20	29	79
ENSMUSG00000000579	137	126	105	95	35	36	41	26
ENSMUSG00000000581	151	82	92	98	7	10	5	7
ENSMUSG00000000594	996	696	642	615	105	92	33	50
ENSMUSG00000000600	92	105	37	53	15	9	18	9
ENSMUSG00000000605	122	72	88	84	7	5	6	10
ENSMUSG00000000606	48	58	27	26	5	14	13	8
ENSMUSG00000000617	784	643	1046	426	182	123	244	132
ENSMUSG00000000627	247	491	374	193	5	9	40	25
ENSMUSG00000000628	67	108	75	41	10	14	11	8
ENSMUSG00000000631	412	441	421	424	18	41	32	27
ENSMUSG00000000632	94	68	140	143	7	10	13	16
ENSMUSG00000000673	46	43	65	56	14	9	5	25
ENSMUSG00000000682	36	70	76	72	3	6	16	6
ENSMUSG00000000686	70	95	81	115	23	18	16	38
ENSMUSG00000000690	48	78	57	65	4	7	6	8
ENSMUSG00000000693	109	215	146	137	21	16	17	25
ENSMUSG00000000701	49	87	84	58	3	3	14	4
ENSMUSG00000000706	95	68	60	63	11	5	9	4
ENSMUSG00000000708	217	410	1208	680	46	54	86	81
ENSMUSG00000000711	508	630	731	1639	62	53	196	287
ENSMUSG00000000724	65	70	27	20	6	3	3	4
ENSMUSG00000000730	187	143	102	169	23	29	22	14
ENSMUSG00000000731	156	182	198	180	8	13	21	21
ENSMUSG00000000732	110	96	67	81	4	0	9	8
ENSMUSG00000000738	638	687	517	872	108	73	53	60
ENSMUSG00000000739	58	109	88	146	21	11	18	9
ENSMUSG00000000740	862	954	439	548	88	90	111	62
ENSMUSG00000000743	24	19	19	25	5	2	6	4
ENSMUSG00000000751	218	319	241	244	50	46	39	27
ENSMUSG00000000753	125	195	219	134	15	17	13	13
ENSMUSG00000000759	62	64	50	48	11	15	6	8
ENSMUSG00000000766	17	16	23	32	1	2	5	1
ENSMUSG00000000776	443	619	248	503	126	63	112	106
ENSMUSG00000000782	71	72	104	57	9	9	1	6
ENSMUSG00000000787	61	135	104	156	35	27	19	15
ENSMUSG00000000791	487	295	136	181	27	27	25	18
ENSMUSG00000000792	139	131	136	116	19	16	13	31
ENSMUSG00000000794	116	137	254	202	11	13	28	21
ENSMUSG00000000804	81	140	118	126	13	8	7	8
ENSMUSG00000000805	55	78	72	43	13	12	16	11
ENSMUSG00000000811	144	119	160	159	12	21	5	17
ENSMUSG00000000817	164	95	124	163	10	22	16	11
ENSMUSG00000000823	105	82	138	54	14	10	20	33
ENSMUSG00000000826	18	44	59	34	8	2	9	3
ENSMUSG00000000827	61	98	152	123	12	11	9	11
ENSMUSG00000000838	23	27	29	20	7	6	4	3
ENSMUSG00000000861	22	30	13	26	2	2	1	1
ENSMUSG00000000869	395	271	259	282	45	17	57	35
ENSMUSG00000000876	190	213	234	191	45	34	27	34
ENSMUSG00000000881	112	48	50	54	25	13	12	7
ENSMUSG00000000884	122	246	296	165	12	24	25	42
ENSMUSG00000000889	326	384	348	291	49	30	52	47
ENSMUSG00000000901	53	52	55	55	7	3	6	2
ENSMUSG00000000902	120	58	60	77	7	4	4	5
ENSMUSG00000000903	163	172	130	163	23	25	34	13
ENSMUSG00000000915	73	155	109	68	7	8	4	8
ENSMUSG00000000916	81	89	227	219	13	15	52	48
ENSMUSG00000000934	94	119	54	105	5	10	8	6
ENSMUSG00000000938	267	413	417	293	88	42	43	25
ENSMUSG00000000942	74	54	107	88	5	2	3	2
ENSMUSG00000000948	106	164	85	114	7	22	18	7
ENSMUSG00000000957	77	121	47	56	13	6	3	3
ENSMUSG00000000958	166	75	119	110	66	94	148	72
ENSMUSG00000000959	54	67	214	173	12	21	40	69
ENSMUSG00000000976	107	90	147	107	14	8	13	8
ENSMUSG00000000982	393	526	397	497	55	171	85	125
ENSMUSG00000000983	93	60	183	73	7	7	5	13
ENSMUSG00000001014	243	298	200	233	30	9	26	22
ENSMUSG00000001016	46	114	78	61	11	11	12	9
ENSMUSG00000001017	156	138	142	207	18	20	15	14
ENSMUSG00000001018	183	167	479	259	39	53	114	155
ENSMUSG00000001020	12	10	3	5	2	1	0	0
ENSMUSG00000001021	51	54	44	71	15	10	7	12
ENSMUSG00000001023	176	245	188	208	15	15	22	15
ENSMUSG00000001025	476	134	114	96	78	71	45	33
ENSMUSG00000001027	186	362	378	205	38	22	16	34
ENSMUSG00000001029	36	42	94	36	7	9	8	13
ENSMUSG00000001034	238	232	247	177	35	15	27	41
ENSMUSG00000001036	655	377	762	523	36	19	36	34
ENSMUSG00000001039	66	26	29	35	1	1	3	1
ENSMUSG00000001052	1216	637	2005	1911	64	97	393	147
ENSMUSG00000001053	132	190	66	149	28	30	12	7
ENSMUSG00000001054	177	129	167	138	15	9	22	8
ENSMUSG00000001056	92	95	129	119	5	4	10	8
ENSMUSG00000001062	83	64	190	103	13	20	20	7
ENSMUSG00000001065	50	54	53	39	7	3	2	6
ENSMUSG00000001076	34	31	11	11	4	4	1	3
ENSMUSG00000001082	268	192	406	203	15	30	20	21
ENSMUSG00000001089	20	20	18	26	1	3	4	4
ENSMUSG00000001095	150	137	234	159	21	8	8	8
ENSMUSG00000001098	633	523	456	777	62	76	140	76
ENSMUSG00000001100	197	189	85	103	31	43	34	36
ENSMUSG00000001103	154	226	347	486	38	39	44	23
ENSMUSG00000001105	67	74	32	89	5	9	14	7
ENSMUSG00000001119	70	42	65	44	7	8	2	4
ENSMUSG00000001120	39	14	61	65	7	6	6	7
ENSMUSG00000001123	10	19	58	41	9	3	3	4
ENSMUSG00000001127	48	120	57	107	17	13	7	5
ENSMUSG00000001128	81	97	32	44	2	6	1	2
ENSMUSG00000001131	206	128	293	87	11	15	10	9
ENSMUSG00000001134	38	19	20	27	6	1	19	24
ENSMUSG00000001138	117	122	87	82	13	23	7	9
ENSMUSG00000001143	57	63	114	54	13	6	38	21
ENSMUSG00000001150	52	79	55	52	8	12	31	17
ENSMUSG00000001151	176	228	191	308	22	47	28	20
ENSMUSG00000001155	112	356	185	310	30	14	18	26
ENSMUSG00000001156	352	407	766	638	22	13	52	33
ENSMUSG00000001157	21	33	29	29	2	1	2	2
ENSMUSG00000001158	324	395	281	166	47	78	30	35
ENSMUSG00000001166	1270	1025	1524	934	65	100	69	94
ENSMUSG00000001168	398	166	182	405	22	44	32	35
ENSMUSG00000001173	490	348	604	921	59	43	29	62
ENSMUSG00000001175	70	39	30	43	8	2	3	4
ENSMUSG00000001211	12	17	54	37	1	1	3	6
ENSMUSG00000001225	135	135	147	234	6	5	15	10
ENSMUSG00000001227	117	117	80	85	24	19	12	18
ENSMUSG00000001228	252	295	230	336	12	10	11	10
ENSMUSG00000001229	659	346	880	1054	93	104	89	313
ENSMUSG00000001240	103	118	112	180	12	17	18	24
ENSMUSG00000001247	139	85	336	206	8	10	21	25
ENSMUSG00000001248	125	189	232	213	8	8	39	24
ENSMUSG00000001249	686	375	748	619	82	71	73	98
ENSMUSG00000001260	123	158	97	42	2	6	4	1
ENSMUSG00000001270	46	95	82	43	2	6	3	14
ENSMUSG00000001280	279	248	329	334	39	41	110	66
ENSMUSG00000001281	66	61	57	66	16	17	44	48
ENSMUSG00000001285	79	70	71	113	26	3	5	1
ENSMUSG00000001288	302	486	143	187	34	18	8	4
ENSMUSG00000001289	218	131	137	222	40	17	38	25
ENSMUSG00000001300	235	221	161	233	10	10	7	10
ENSMUSG00000001305	428	565	495	583	41	20	65	51
ENSMUSG00000001313	177	134	172	252	17	13	11	33
ENSMUSG00000001323	244	372	256	294	18	28	27	19
ENSMUSG00000001333	81	29	64	92	18	17	16	7
ENSMUSG00000001334	262	196	167	216	44	45	38	37
ENSMUSG00000001348	147	225	102	127	27	11	6	7
ENSMUSG00000001349	84	98	88	84	3	6	7	7
ENSMUSG00000001366	122	137	215	126	30	28	24	28
ENSMUSG00000001376	47	56	59	36	5	1	3	5
ENSMUSG00000001380	421	244	214	319	52	122	78	94
ENSMUSG00000001383	271	382	209	181	33	32	30	15
ENSMUSG00000001403	18	22	13	17	0	1	2	0
ENSMUSG00000001415	131	275	256	340	54	49	60	75
ENSMUSG00000001416	303	294	325	223	81	41	47	52
ENSMUSG00000001418	954	455	1012	968	65	64	107	98
ENSMUSG00000001419	46	53	104	121	4	16	15	6
ENSMUSG00000001420	211	119	181	176	14	10	14	17
ENSMUSG00000001424	178	85	78	154	9	5	3	3
ENSMUSG00000001435	152	108	233	156	27	28	55	64
ENSMUSG00000001436	190	76	141	68	2	10	12	4
ENSMUSG00000001440	141	102	204	222	10	12	11	11
ENSMUSG00000001441	16	51	33	26	3	3	5	5
ENSMUSG00000001444	354	193	143	162	33	22	32	29
ENSMUSG00000001445	111	178	125	79	4	9	6	8
ENSMUSG00000001467	180	81	166	108	26	22	16	17
ENSMUSG00000001472	22	26	38	37	8	7	5	11
ENSMUSG00000001473	162	175	195	261	17	11	19	16
ENSMUSG00000001482	317	426	555	678	80	181	190	258
ENSMUSG00000001493	71	71	33	53	12	4	8	30
ENSMUSG00000001494	385	376	394	298	20	37	63	26
ENSMUSG00000001496	229	542	476	363	79	46	115	27
ENSMUSG00000001497	429	324	574	1038	43	62	154	129
ENSMUSG00000001504	250	304	169	165	13	30	43	39
ENSMUSG00000001506	617	639	803	577	48	24	27	36
ENSMUSG00000001507	13	37	25	22	3	5	7	6
ENSMUSG00000001508	145	97	133	161	11	14	12	16
ENSMUSG00000001510	71	126	62	174	8	2	6	13
ENSMUSG00000001517	134	76	80	62	9	4	7	18
ENSMUSG00000001518	48	36	42	23	5	6	7	9
ENSMUSG00000001520	67	56	86	48	4	10	3	0
ENSMUSG00000001521	735	858	645	397	124	103	102	84
ENSMUSG00000001524	43	24	46	34	1	3	2	4
ENSMUSG00000001525	394	488	215	294	22	38	34	29
ENSMUSG00000001542	73	123	417	333	4	13	8	27
ENSMUSG00000001552	174	76	33	72	23	15	5	6
ENSMUSG00000001555	82	72	84	77	19	12	10	12
ENSMUSG00000001558	319	202	266	542	31	40	105	40
ENSMUSG00000001566	53	76	47	51	20	10	9	8
ENSMUSG00000001569	39	39	14	14	5	9	2	2
ENSMUSG00000001576	80	62	34	51	5	8	11	2
ENSMUSG00000001583	394	299	394	194	74	52	56	38
ENSMUSG00000001588	89	86	225	125	8	9	21	12
ENSMUSG00000001604	136	104	102	184	33	28	34	23
ENSMUSG00000001622	303	374	246	411	29	45	33	44
ENSMUSG00000001627	127	207	157	230	23	23	10	30
ENSMUSG00000001630	366	650	282	247	109	48	69	38
ENSMUSG00000001632	540	401	433	437	22	14	47	33
ENSMUSG00000001642	37	27	20	37	8	12	11	4
ENSMUSG00000001655	264	242	180	144	14	9	30	25
ENSMUSG00000001656	47	81	71	74	15	9	8	20
ENSMUSG00000001657	212	246	373	199	26	25	38	26
ENSMUSG00000001661	112	53	74	133	18	5	19	19
ENSMUSG00000001663	11	7	24	24	1	2	5	2
ENSMUSG00000001665	74	37	54	47	9	4	9	9
ENSMUSG00000001666	30	64	42	59	9	6	13	25
ENSMUSG00000001670	219	123	140	77	23	45	45	22
ENSMUSG00000001672	77	35	43	64	11	19	23	29
ENSMUSG00000001674	27	62	76	43	4	8	7	8
ENSMUSG00000001687	899	437	300	298	34	41	34	33
ENSMUSG00000001700	570	541	456	864	166	101	100	137
ENSMUSG00000001707	143	126	73	82	3	8	6	13
ENSMUSG00000001729	233	263	249	486	32	43	22	26
ENSMUSG00000001739	89	79	81	123	12	6	24	14
ENSMUSG00000001741	314	321	320	627	89	80	56	65
ENSMUSG00000001750	28	38	28	42	9	8	10	4
ENSMUSG00000001751	64	70	63	103	6	7	8	2
ENSMUSG00000001755	226	166	117	75	33	64	43	35
ENSMUSG00000001761	213	243	683	414	68	20	36	31
ENSMUSG00000001763	25	14	47	46	8	7	10	6
ENSMUSG00000001767	76	44	78	51	6	7	4	4
ENSMUSG00000001768	434	808	692	574	31	68	83	61
ENSMUSG00000001773	67	109	34	75	3	3	10	11
ENSMUSG00000001774	263	321	183	306	58	30	53	32
ENSMUSG00000001783	108	82	105	54	5	14	9	8
ENSMUSG00000001785	278	285	100	289	48	31	47	59
ENSMUSG00000001786	118	79	84	138	12	12	6	9
ENSMUSG00000001794	794	1025	503	768	112	86	84	74
ENSMUSG00000001802	2111	1692	647	1072	218	173	160	56
ENSMUSG00000001804	63	50	54	142	9	8	24	19
ENSMUSG00000001815	91	57	92	94	16	20	7	7
ENSMUSG00000001819	67	108	194	212	13	16	22	32
ENSMUSG00000001823	47	78	87	99	6	11	2	8
ENSMUSG00000001827	178	253	909	804	9	11	32	53
ENSMUSG00000001829	46	64	114	77	37	35	26	26
ENSMUSG00000001833	124	205	262	226	30	53	17	32
ENSMUSG00000001844	164	65	104	55	15	29	15	10
ENSMUSG00000001847	20	28	21	8	1	2	2	0
ENSMUSG00000001855	160	251	213	271	8	16	24	34
ENSMUSG00000001864	180	130	140	185	14	17	5	13
ENSMUSG00000001865	317	223	280	194	7	11	7	14
ENSMUSG00000001870	51	63	38	53	7	6	9	0
ENSMUSG00000001891	20	14	5	7	0	2	0	2
ENSMUSG00000001901	60	44	52	68	1	5	11	9
ENSMUSG00000001909	19	57	30	41	2	3	0	2
ENSMUSG00000001910	39	53	99	37	4	5	3	1
ENSMUSG00000001911	32	102	95	95	16	14	13	17
ENSMUSG00000001918	359	272	326	361	43	29	40	39
ENSMUSG00000001924	144	104	146	70	9	19	14	23
ENSMUSG00000001930	2413	2476	3684	5675	131	237	286	679
ENSMUSG00000001942	45	27	53	78	8	8	16	20
ENSMUSG00000001943	9	9	7	16	1	0	1	1
ENSMUSG00000001946	40	31	26	29	4	7	8	4
ENSMUSG00000001948	377	269	330	223	34	35	36	45
ENSMUSG00000001962	256	249	517	552	21	22	55	64
ENSMUSG00000001964	62	72	105	103	13	5	3	7
ENSMUSG00000001983	65	54	82	143	4	3	3	9
ENSMUSG00000001985	50	27	19	38	4	1	6	4
ENSMUSG00000001986	163	267	329	496	64	119	143	118
ENSMUSG00000001988	254	123	120	173	15	11	13	25
ENSMUSG00000001995	163	88	133	157	12	11	21	30
ENSMUSG00000001998	40	24	35	21	4	4	6	7
ENSMUSG00000001999	270	181	77	132	21	42	18	9
ENSMUSG00000002006	126	203	110	178	12	14	14	13
ENSMUSG00000002007	345	438	101	352	28	31	14	26
ENSMUSG00000002010	166	181	151	179	11	8	19	10
ENSMUSG00000002012	333	516	308	304	30	18	33	20
ENSMUSG00000002014	26	29	26	25	4	7	5	7
ENSMUSG00000002015	858	510	579	714	128	117	51	111
ENSMUSG00000002017	71	63	31	32	9	4	0	3
ENSMUSG00000002020	105	79	168	54	8	9	10	16
ENSMUSG00000002028	56	20	69	36	0	2	1	10
ENSMUSG00000002031	415	541	722	399	75	93	40	47
ENSMUSG00000002032	74	53	70	82	7	14	7	7
ENSMUSG00000002033	170	125	196	152	16	19	21	14
ENSMUSG00000002043	23	49	105	71	1	3	7	12
ENSMUSG00000002052	79	126	91	111	12	6	22	18
ENSMUSG00000002055	29	61	67	65	7	12	12	4
ENSMUSG00000002057	260	445	1098	791	118	148	309	357
ENSMUSG00000002058	401	268	193	232	58	3	34	36
ENSMUSG00000002059	166	221	232	164	24	12	18	21
ENSMUSG00000002064	272	538	321	922	50	63	142	122
ENSMUSG00000002068	112	163	61	68	31	30	4	13
ENSMUSG00000002076	119	136	197	143	24	7	27	23
ENSMUSG00000002083	772	878	827	819	99	42	195	187
ENSMUSG00000002100	104	98	142	209	13	8	21	14
ENSMUSG00000002102	87	79	43	43	8	8	0	3
ENSMUSG00000002103	244	234	273	465	81	57	131	107
ENSMUSG00000002104	113	123	57	163	4	10	2	1
ENSMUSG00000002105	103	208	101	211	15	11	20	22
ENSMUSG00000002107	622	664	634	607	32	59	13	28
ENSMUSG00000002108	196	267	164	372	50	40	33	42
ENSMUSG00000002109	249	490	875	1740	46	77	136	56
ENSMUSG00000002111	30	61	70	56	1	0	4	1
ENSMUSG00000002129	107	205	68	77	8	9	7	3
ENSMUSG00000002147	108	64	240	202	1	4	30	17
ENSMUSG00000002190	98	102	75	113	3	9	7	5
ENSMUSG00000002204	128	90	106	116	16	31	16	26
ENSMUSG00000002205	251	422	131	290	54	66	70	90
ENSMUSG00000002210	86	178	152	128	23	27	19	26
ENSMUSG00000002221	94	93	137	68	6	7	13	12
ENSMUSG00000002222	790	516	342	832	90	73	51	76
ENSMUSG00000002227	227	447	213	379	27	50	36	78
ENSMUSG00000002228	53	47	48	41	5	3	7	3
ENSMUSG00000002233	107	38	38	80	5	4	8	4
ENSMUSG00000002240	82	91	66	33	6	6	7	12
ENSMUSG00000002249	219	284	114	255	90	102	56	50
ENSMUSG00000002250	2570	3002	3260	1924	120	269	154	343
ENSMUSG00000002257	76	20	46	26	7	8	4	0
ENSMUSG00000002265	357	160	294	253	24	22	12	13
ENSMUSG00000002266	64	102	62	159	5	5	3	5
ENSMUSG00000002274	561	352	374	297	56	97	81	80
ENSMUSG00000002279	78	60	91	122	10	9	3	5
ENSMUSG00000002280	435	422	379	640	21	31	63	31
ENSMUSG00000002289	83	49	62	84	1	10	8	5
ENSMUSG00000002297	141	110	210	164	28	22	66	49
ENSMUSG00000002307	64	87	44	46	8	11	6	7
ENSMUSG00000002308	247	160	251	195	72	82	27	13
ENSMUSG00000002319	49	40	50	39	7	4	6	3
ENSMUSG00000002320	136	198	167	98	34	53	22	38
ENSMUSG00000002324	175	86	118	113	3	4	11	7
ENSMUSG00000002325	39	56	41	24	2	4	0	1
ENSMUSG00000002326	227	335	167	166	30	22	17	21
ENSMUSG00000002329	102	145	118	81	17	14	11	11
ENSMUSG00000002332	52	51	36	43	8	4	4	5
ENSMUSG00000002341	58	39	15	20	14	13	7	5
ENSMUSG00000002342	63	66	101	105	6	11	11	7
ENSMUSG00000002343	42	51	45	62	5	7	4	9
ENSMUSG00000002345	163	207	215	182	21	21	10	16
ENSMUSG00000002346	257	632	562	362	79	33	86	90
ENSMUSG00000002365	113	114	100	87	10	19	7	9
ENSMUSG00000002372	45	29	124	133	5	5	29	20
ENSMUSG00000002379	113	53	87	103	22	10	16	15
ENSMUSG00000002384	142	117	120	140	10	4	8	14
ENSMUSG00000002393	74	57	46	83	6	9	3	3
ENSMUSG00000002395	162	146	137	60	27	26	14	8
ENSMUSG00000002396	186	220	207	231	20	11	18	29
ENSMUSG00000002409	39	29	27	39	3	3	2	7
ENSMUSG00000002413	137	122	46	103	19	4	14	8
ENSMUSG00000002416	83	160	108	140	34	26	23	29
ENSMUSG00000002428	39	48	36	49	4	8	15	3
ENSMUSG00000002455	548	168	456	327	7	28	23	25
ENSMUSG00000002458	200	343	216	418	22	34	36	48
ENSMUSG00000002459	174	180	97	198	17	21	13	12
ENSMUSG00000002475	254	239	214	327	50	50	13	37
ENSMUSG00000002477	23	28	44	16	6	10	2	7
ENSMUSG00000002486	182	217	112	87	15	26	12	16
ENSMUSG00000002489	21	45	15	18	0	2	1	1
ENSMUSG00000002496	86	77	39	76	3	0	3	6
ENSMUSG00000002500	124	144	141	228	19	25	6	10
ENSMUSG00000002504	48	34	33	55	5	6	2	3
ENSMUSG00000002524	232	114	217	215	44	47	37	50
ENSMUSG00000002546	70	57	50	70	11	2	15	18
ENSMUSG00000002550	69	50	118	103	8	9	7	9
ENSMUSG00000002565	134	99	136	166	21	33	25	16
ENSMUSG00000002578	1034	1202	1450	1011	65	93	81	46
ENSMUSG00000002580	34	48	46	50	3	5	5	6
ENSMUSG00000002588	228	245	187	224	26	24	4	20
ENSMUSG00000002602	169	126	222	271	28	31	58	38
ENSMUSG00000002603	151	276	161	165	22	25	24	20
ENSMUSG00000002608	73	105	104	101	19	6	13	20
ENSMUSG00000002617	70	154	142	111	14	13	8	4
ENSMUSG00000002625	113	78	72	64	11	9	12	21
ENSMUSG00000002633	34	46	83	105	7	15	15	27
ENSMUSG00000002635	663	437	345	354	53	46	38	26
ENSMUSG00000002658	123	255	188	162	25	29	25	17
ENSMUSG00000002660	38	93	24	44	6	1	2	4
ENSMUSG00000002661	215	413	257	145	32	33	37	35
ENSMUSG00000002664	214	160	780	568	10	25	36	29
ENSMUSG00000002668	145	194	180	170	4	8	9	10
ENSMUSG00000002679	15	7	11	4	1	0	0	1
ENSMUSG00000002688	98	141	90	43	35	31	15	25
ENSMUSG00000002699	139	132	164	144	10	13	12	5
ENSMUSG00000002718	65	50	71	62	4	5	4	3
ENSMUSG00000002728	62	65	19	83	6	14	16	11
ENSMUSG00000002731	436	504	431	319	26	57	34	22
ENSMUSG00000002732	66	89	99	109	11	9	5	12
ENSMUSG00000002733	36	100	53	51	10	5	3	5
ENSMUSG00000002741	734	612	920	726	50	75	137	85
ENSMUSG00000002748	500	308	418	667	105	44	65	37
ENSMUSG00000002763	185	178	172	163	30	39	21	27
ENSMUSG00000002767	3	8	6	8	0	0	0	0
ENSMUSG00000002768	132	166	142	171	18	29	18	17
ENSMUSG00000002769	44	47	59	110	13	13	10	7
ENSMUSG00000002771	74	83	167	264	8	10	16	21
ENSMUSG00000002778	29	36	17	21	3	0	0	0
ENSMUSG00000002781	210	102	132	148	4	9	12	5
ENSMUSG00000002791	116	136	145	103	9	9	26	17
ENSMUSG00000002797	62	39	50	62	14	15	12	11
ENSMUSG00000002799	31	36	166	62	2	3	13	10
ENSMUSG00000002803	189	643	336	413	43	17	24	42
ENSMUSG00000002804	362	381	303	279	3	13	12	9
ENSMUSG00000002808	73	93	214	173	13	11	35	27
ENSMUSG00000002812	33	63	55	66	7	11	6	6
ENSMUSG00000002814	54	83	67	49	7	10	10	8
ENSMUSG00000002820	161	129	149	123	3	8	6	6
ENSMUSG00000002825	166	326	192	180	60	55	71	22
ENSMUSG00000002831	83	87	139	64	21	16	23	14
ENSMUSG00000002833	172	131	126	256	65	57	13	24
ENSMUSG00000002835	273	335	170	202	22	39	14	29
ENSMUSG00000002844	46	33	45	55	1	2	2	2
ENSMUSG00000002845	53	103	92	83	5	10	8	1
ENSMUSG00000002846	82	98	135	169	5	12	7	6
